team_name,iso_code,elo_rating,confederation,wc_qualified,last_updated
Malta,MLT,1358.3,UEFA,False,2026-05-21
Andorra,AND,1325.7,UEFA,False,2026-05-21
Liechtenstein,LIE,1298.2,UEFA,False,2026-05-21
Gibraltar,GIB,1285.6,UEFA,False,2026-05-21
San Marino,SMR,1212.4,UEFA,False,2026-05-21
México,MEX,1758.9,CONCACAF,True,2026-05-21
Estados Unidos,USA,1745.3,CONCACAF,True,2026-05-21
Canadá,CAN,1732.7,CONCACAF,True,2026-05-21
Panamá,PAN,1685.2,CONCACAF,True,2026-05-21
Costa Rica,CRC,1672.8,CONCACAF,True,2026-05-21
Jamaica,JAM,1658.4,CONCACAF,True,2026-05-21
Honduras,HON,1625.9,CONCACAF,False,2026-05-21
El Salvador,SLV,1598.3,CONCACAF,False,2026-05-21
Guatemala,GUA,1585.7,CONCACAF,False,2026-05-21
Trinidad y Tobago,TRI,1572.2,CONCACAF,False,2026-05-21
Haití,HAI,1545.8,CONCACAF,False,2026-05-21
Cuba,CUB,1512.4,CONCACAF,False,2026-05-21
Curazao,CUW,1498.9,CONCACAF,False,2026-05-21
Nicaragua,NCA,1485.3,CONCACAF,False,2026-05-21
República Dominicana,DOM,1472.7,CONCACAF,False,2026-05-21
Surinam,SUR,1458.2,CONCACAF,False,2026-05-21
Guayana Francesa,GUF,1425.6,CONCACAF,False,2026-05-21
Belice,BLZ,1398.4,CONCACAF,False,2026-05-21
Antigua y Barbuda,ATG,1385.9,CONCACAF,False,2026-05-21
San Cristóbal y Nieves,SKN,1372.3,CONCACAF,False,2026-05-21
Barbados,BRB,1358.7,CONCACAF,False,2026-05-21
Granada,GRN,1345.2,CONCACAF,False,2026-05-21
San Vicente y las Granadinas,VCT,1332.8,CONCACAF,False,2026-05-21
Dominica,DMA,1318.4,CONCACAF,False,2026-05-21
Islas Vírgenes de EE.UU.,VIR,1285.9,CONCACAF,False,2026-05-21
Islas Vírgenes Británicas,VGB,1272.3,CONCACAF,False,2026-05-21
Anguila,AIA,1245.7,CONCACAF,False,2026-05-21
Montserrat,MSR,1212.2,CONCACAF,False,2026-05-21
Islas Turcas y Caicos,TCA,1198.6,CONCACAF,False,2026-05-21
Bermudas,BER,1485.4,CONCACAF,False,2026-05-21
Puerto Rico,PUR,1425.8,CONCACAF,False,2026-05-21
Japón,JPN,1765.4,AFC,True,2026-05-21
Corea del Sur,KOR,1752.8,AFC,True,2026-05-21
Irán,IRN,1745.3,AFC,True,2026-05-21
Australia,AUS,1732.7,AFC,True,2026-05-21
Arabia Saudita,KSA,1718.2,AFC,True,2026-05-21
Catar,QAT,1705.6,AFC,True,2026-05-21
Irak,IRQ,1685.4,AFC,False,2026-05-21
Emiratos Árabes Unidos,UAE,1672.9,AFC,False,2026-05-21
Uzbekistán,UZB,1658.3,AFC,False,2026-05-21
China,CHN,1645.7,AFC,False,2026-05-21
Omán,OMA,1632.2,AFC,False,2026-05-21
Jordania,JOR,1618.8,AFC,False,2026-05-21
Baréin,BHR,1605.4,AFC,False,2026-05-21
Siria,SYR,1592.9,AFC,False,2026-05-21
Palestina,PLE,1578.3,AFC,False,2026-05-21
Líbano,LBN,1565.7,AFC,False,2026-05-21
India,IND,1552.2,AFC,False,2026-05-21
Tailandia,THA,1538.8,AFC,False,2026-05-21
Vietnam,VIE,1525.4,AFC,False,2026-05-21
Kirguistán,KGZ,1512.9,AFC,False,2026-05-21
Filipinas,PHI,1498.3,AFC,False,2026-05-21
Malasia,MAS,1485.7,AFC,False,2026-05-21
Indonesia,IDN,1472.2,AFC,False,2026-05-21
Singapur,SIN,1458.8,AFC,False,2026-05-21
Turkmenistán,TKM,1445.4,AFC,False,2026-05-21
Tayikistán,TJK,1432.9,AFC,False,2026-05-21
Hong Kong,HKG,1418.3,AFC,False,2026-05-21
Yemen,YEM,1405.7,AFC,False,2026-05-21
Afganistán,AFG,1392.2,AFC,False,2026-05-21
Myanmar,MYA,1378.8,AFC,False,2026-05-21
Camboya,CAM,1365.4,AFC,False,2026-05-21
Laos,LAO,1352.9,AFC,False,2026-05-21
Macao,MAC,1338.3,AFC,False,2026-05-21
Mongolia,MNG,1325.7,AFC,False,2026-05-21
Bután,BHU,1298.2,AFC,False,2026-05-21
Brunéi,BRU,1285.6,AFC,False,2026-05-21
Timor-Leste,TLS,1272.4,AFC,False,2026-05-21
Pakistán,PAK,1312.8,AFC,False,2026-05-21
Nepal,NEP,1345.3,AFC,False,2026-05-21
Bangladés,BAN,1385.9,AFC,False,2026-05-21
Maldivas,MDV,1398.4,AFC,False,2026-05-21
Sri Lanka,SRI,1372.7,AFC,False,2026-05-21
Guam,GUM,1258.3,AFC,False,2026-05-21
Islas Marianas del Norte,NMI,1245.7,AFC,False,2026-05-21
Marruecos,MAR,1742.6,CAF,True,2026-05-21
Senegal,SEN,1728.4,CAF,True,2026-05-21
Nigeria,NGA,1715.9,CAF,True,2026-05-21
Egipto,EGY,1702.3,CAF,True,2026-05-21
Túnez,TUN,1688.7,CAF,True,2026-05-21
Argelia,ALG,1675.2,CAF,True,2026-05-21
Camerún,CMR,1662.8,CAF,True,2026-05-21
Costa de Marfil,CIV,1648.4,CAF,True,2026-05-21
Ghana,GHA,1635.9,CAF,True,2026-05-21
Malí,MLI,1622.3,CAF,True,2026-05-21
Burkina Faso,BFA,1608.7,CAF,False,2026-05-21
Sudáfrica,RSA,1595.2,CAF,False,2026-05-21
Cabo Verde,CPV,1582.8,CAF,False,2026-05-21
Guinea,GUI,1568.4,CAF,False,2026-05-21
Zambia,ZAM,1555.9,CAF,False,2026-05-21
Uganda,UGA,1542.3,CAF,False,2026-05-21
Gabón,GAB,1528.7,CAF,False,2026-05-21
Congo,CGO,1515.2,CAF,False,2026-05-21
República Democrática del Congo,COD,1502.8,CAF,False,2026-05-21
Níger,NIG,1488.4,CAF,False,2026-05-21
Mauritania,MTN,1475.9,CAF,False,2026-05-21
Benín,BEN,1462.3,CAF,False,2026-05-21
Togo,TOG,1448.7,CAF,False,2026-05-21
Zimbabue,ZIM,1435.2,CAF,False,2026-05-21
Kenia,KEN,1422.8,CAF,False,2026-05-21
Mozambique,MOZ,1408.4,CAF,False,2026-05-21
Tanzania,TAN,1395.9,CAF,False,2026-05-21
Ruanda,RWA,1382.3,CAF,False,2026-05-21
Madagascar,MAD,1368.7,CAF,False,2026-05-21
Angola,ANG,1355.2,CAF,False,2026-05-21
Namibia,NAM,1342.8,CAF,False,2026-05-21
Botsuana,BOT,1328.4,CAF,False,2026-05-21
Lesoto,LES,1315.9,CAF,False,2026-05-21
Esuatini,SWZ,1302.3,CAF,False,2026-05-21
Malaui,MWI,1288.7,CAF,False,2026-05-21
Comoras,COM,1275.2,CAF,False,2026-05-21
Sudán,SDN,1262.8,CAF,False,2026-05-21
Sudán del Sur,SSD,1248.4,CAF,False,2026-05-21
Etiopía,ETH,1295.9,CAF,False,2026-05-21
Eritrea,ERI,1235.3,CAF,False,2026-05-21
Somalia,SOM,1222.7,CAF,False,2026-05-21
Yibuti,DJI,1208.2,CAF,False,2026-05-21
Chad,CHA,1195.8,CAF,False,2026-05-21
República Centroafricana,CTA,1182.4,CAF,False,2026-05-21
Guinea-Bisáu,GNB,1312.9,CAF,False,2026-05-21
Gambia,GAM,1425.6,CAF,False,2026-05-21
Liberia,LBR,1268.3,CAF,False,2026-05-21
Sierra Leona,SLE,1255.7,CAF,False,2026-05-21
Guinea Ecuatorial,EQG,1342.2,CAF,False,2026-05-21
Santo Tomé y Príncipe,STP,1218.8,CAF,False,2026-05-21
Seychelles,SEY,1185.4,CAF,False,2026-05-21
Mauricio,MRI,1245.9,CAF,False,2026-05-21
Nueva Zelanda,NZL,1625.4,OFC,False,2026-05-21
Nueva Caledonia,NCL,1485.9,OFC,False,2026-05-21
Fiyi,FIJ,1472.3,OFC,False,2026-05-21
Papúa Nueva Guinea,PNG,1445.7,OFC,False,2026-05-21
Tahití,TAH,1432.2,OFC,False,2026-05-21
Islas Salomón,SOL,1418.8,OFC,False,2026-05-21
Vanuatu,VAN,1405.4,OFC,False,2026-05-21
Samoa,SAM,1372.9,OFC,False,2026-05-21
Samoa Americana,ASA,1298.3,OFC,False,2026-05-21
Tonga,TGA,1345.7,OFC,False,2026-05-21
Islas Cook,COK,1312.2,OFC,False,2026-05-21
Kiribati,KIR,1185.8,OFC,False,2026-05-21
Tuvalu,TUV,1172.4,OFC,False,2026-05-21
Palaos,PLW,1158.9,OFC,False,2026-05-21
